datetime,amount,description
11/5/23 0:00,-135.32,ACH DEBIT PAYMENT PROCESSOR PAYABLES MAPLECREST BRIDGE LTD MANTPC5KE
7/14/23 0:00,-134.32,ACH DEBIT PAYMENT PROCESSOR PAYABLES SOUTHGATE CROSSING LLC CNDRWJY
1/23/23 0:00,-134,ACH DEBIT TAX AUTHORITY PAYMENT SF4N729X91 8
10/12/23 0:00,-133.28,ACH DEBIT TAX AUTHORITY PAYMENT 6LD2FXVJ3AO6
2/3/23 0:00,-132.52,ACH DEBIT PAYMENT PROCESSOR PAYABLES REDWOOD PROPERTIES LTD QCKF8315B5EC
9/12/23 0:00,-132,ZELLE DEBIT PAYMENT TO: X. CLARK . ID: IT5XYO056I 
3/1/23 0:00,-129.42,ACH DEBIT TAX AUTHORITY PAYMENT UHF9L4SUNY59 4
9/29/23 0:00,-127.43,ACH DEBIT CARD PROCESSOR ACH PMT GRANITE PEAK VENTURES CO J1ZQMYG8ZPKV
6/15/23 0:00,-126.52,ACH DEBIT TAX AUTHORITY PAYMENT UNHNR20EY1C
3/2/24 0:00,-126.31,"ACH DEBIT PAYMENT PROCESSOR PAYABLES ""REDWOOD RESOURCES CO"" GX2NGXBK6RQLG21"
2/4/24 0:00,-125.21,ACH DEBIT PAYMENT PROCESSOR PAYABLES CROWNWELL SECURITY CORP RYUWX2BPW1OL4SLW
1/24/23 0:00,-125,ZELLE DEBIT PAYMENT TO: C. HARRIS . ID: 0QRPPV5R7
1/22/23 0:00,-122.43,ACH DEBIT CARD PROCESSOR ACH PMT OAKRIDGE VISTA OPERATIONS LLC CEJDK126607TGB2T
8/17/22 0:00,-122.18,ACH DEBIT PAYMENT PROCESSOR PAYABLES HARBORPOINT VALLEY INC 2NR65G9
12/12/23 0:00,-120.12,INCOMING WIRE SAGE VALLEY BRIDGE CO DMTDQLMTJGWMRX
6/9/23 0:00,-120,"ACH CREDIT ACCOUNTING APP NFF7H9UL DEPOSIT WINDWARD BROOK PROPERTIES LTD, L V1KXID9AYIWYKA"
5/3/23 0:00,-119.62,ACH DEBIT CARD PROCESSOR ACH PMT SEAVIEW HARBOR LTD RLC0HMDXRUFAA377 6
10/30/23 0:00,-119.51,ACH DEBIT PAYMENT PROCESSOR PAYABLES TIMBERLINE CANYON LTD YGL9DX1O
3/5/24 0:00,-119.08,"ACH DEBIT PAYMENT PROCESSOR PAYABLES ""BLUE HARBOR HOLLOW LP"" REA1ZJUU0LI3 8"
3/4/24 0:00,-119.08,"ACH CREDIT ACCOUNTING APP 8P6J8G 6 DEPOSIT MEADOWLARK CANYON LOGISTICS CO, L IWUSAP4CSS84"
3/14/24 0:00,-118.67,INCOMING WIRE ATLAS HOLDINGS LLC 113C2T
12/13/23 0:00,-117.7,ACH DEBIT PAYMENT  PROCESSOR PAYABLES STONEGATE GROVE PROPERTIES CORP DYZMNRFR1RDNX9
4/7/23 0:00,-115,ACH DEBIT PAYMENT PROCESSOR PAYABLES CEDARBROOK RESOURCES LLC 9DUDUCP9IKU
1/12/23 0:00,-113.09,"ACH CREDIT ACCOUNTING APP Z5ZNQNCV7HT 2 DEPOSIT ""SILVERLINE PARTNERS LLC"", L 14FNBZJI7DE"
6/18/22 0:00,-112.02,ACH DEBIT PAYMENT PROCESSOR PAYABLES MEADOWLARK SOLUTIONS LLC NV7I1RMLP8ACQ5VS
3/23/24 0:00,-111.46,ACH DEBIT PAYMENT PROCESSOR PAYABLES TIMBERLINE BAY LTD 08N49UH4MACQ73 
2/7/23 0:00,-110.63,ACH DEBIT TAX AUTHORITY PAYMENT LDA8S180A0 4
5/8/23 0:00,-110.63,ZELLE DEBIT PAYMENT TO: P. TURNER . ID: AJPK8E0FU
3/31/24 0:00,-110.58,ACH DEBIT PAYMENT PROCESSOR PAYABLES PRAIRIE CAPITAL LLC LZ9003UQ52PIWJ9K
5/23/23 0:00,-110.55,INTERNET TRANSFER TO DDA# 20832577618 ON08 AT 04.04
11/7/23 0:00,-110.54,ACH DEBIT PAYMENT PROCESSOR PAYABLES TIMBERLINE BAY LTD 08N49UH4MACQ73 
1/25/24 0:00,-110.54,ZELLE DEBIT PAYMENT TO: W. BELL . ID: B5X89P 8
11/3/23 0:00,-108.46,ACH DEBIT PAYMENT PROCESSOR PAYABLES CLEARVIEW VALLEY PROJECTS LTD SRI3BVGDY36T5
1/11/23 0:00,-106.19,"ACH CREDIT ACCOUNTING APP ZW0EA5 DEPOSIT ROCKBRIDGE MERIDIAN PLC, L XL02X209QEM"
5/19/22 0:00,-104.83,ACH DEBIT PAYMENT PROCESSOR PAYABLES HILLSIDE POINT PLC BAOJDFMXSX3SD 6
1/17/23 0:00,-104.52,ZELLE DEBIT PAYMENT TO: P. RAMIREZ . ID: 7XPI0EE492 2
3/25/23 0:00,-104,INTERNET TRANSFER TO DDA# 20452509243 ON04 AT 18.10
2/8/24 0:00,-102.2,ACH DEBIT PAYMENT PROCESSOR PAYABLES SUMMIT CROSSING SOLUTIONS CO E7NL3H034 4
1/7/24 0:00,-102.1,INTERNET TRANSFER TO DDA# 20841459841 ON25 AT 14.28
3/30/24 0:00,-100.92,ACH DEBIT CARD PROCESSOR ACH PMT EMBERLINE VALLEY NETWORKS PLC BJK3SLAXJD
11/13/22 0:00,-100.6,ACH DEBIT  PAYMENT PROCESSOR PAYABLES LONEPINE HORIZON INC SA9CFDX5H91
9/6/23 0:00,-100.24,"ACH CREDIT ACCOUNTING APP CE0UGL DEPOSIT ""TIMBERLINE GROUP INC"", L MVXCNUF"
9/15/22 0:00,-100.17,ACH DEBIT CARD PROCESSOR ACH PMT SILVERPOINT CREEK SERVICES LTD NB8U9B6ZFW
3/30/24 0:00,-100.16,ACH DEBIT PAYMENT PROCESSOR PAYABLES CRESCENT RIDGE EDGE LLC J2DJAPO3SL3 6
8/4/22 0:00,-99.99,ACH DEBIT PAYMENT PROCESSOR PAYABLES ATLAS HARBOR INC 71HZLAQ
9/19/22 0:00,-99.99,ZELLE DEBIT PAYMENT TO: C. MARTINEZ . ID: S6132OQ
10/19/22 0:00,-99.99,INCOMING WIRE HIGHLAND PROPERTIES CO 6PVCGK8
7/22/22 0:00,-99.27,ACH DEBIT TAX AUTHORITY PAYMENT LHSEK25IPBQHT8
7/18/22 0:00,-97.98,ACH DEBIT PAYMENT PROCESSOR PAYABLES HILLSIDE BRIDGE LLC 1EDZOHVEJP2CS80 4
7/17/23 0:00,-97.98,ACH DEBIT CARD PROCESSOR ACH PMT CLEARVIEW ATLAS SERVICES LLC V8PKYFQ12
5/23/22 0:00,-95.39,ACH DEBIT PAYMENT PROCESSOR PAYABLES HARBORVIEW GROVE LLC YYQ5ZI7QBXXXT
2/5/23 0:00,-94.53,ACH DEBIT PAYMENT PROCESSOR PAYABLES BRIGHTLINE NETWORKS LLC N5CTETXE0WK7O 7
9/24/22 0:00,-92.76,ACH DEBIT PAYMENT PROCESSOR PAYABLES PRAIRIE PROPERTIES CORP U83PDBLQPT
3/6/24 0:00,-92.53,ACH DEBIT TAX AUTHORITY PAYMENT 24A2SDFVX 9
3/7/24 0:00,-92.53,ACH DEBIT PAYMENT PROCESSOR PAYABLES EVERCREST ATLAS LTD ELS8CJ40Z2C
6/7/23 0:00,-92.53,ACH DEBIT PAYMENT PROCESSOR PAYABLES SUNRIDGE HOLLOW CO V36CMCUKL
9/7/23 0:00,-92.53,INCOMING WIRE STONECREST PARK PLC AHKBG0YSRSISBD
12/7/23 0:00,-92.53,INCOMING WIRE PARKVIEW SUMMIT LTD 88K1V321BN7
3/6/23 0:00,-92.53,INTERNET TRANSFER TO DDA# 20462339563 ON25 AT 21.09
9/6/23 0:00,-92.34,INTERNET TRANSFER TO DDA# 20975620526 ON22 AT 10.31
2/7/24 0:00,-91.5,ACH DEBIT PAYMENT PROCESSOR PAYABLES RIDGEVIEW HARBOR LTD G49FDRE7SMZHLA
2/8/24 0:00,-91.5,ACH DEBIT CARD PROCESSOR ACH PMT RIDGELAND SHORE OPERATIONS INC PHX4BBWE 4
3/22/24 0:00,-91.46,ACH DEBIT PAYMENT PROCESSOR PAYABLES CRESCENT RIDGE BRIDGE LTD PIPEO4I1E3NPLCC
2/18/23 0:00,-91.15,ACH DEBIT PAYMENT PROCESSOR PAYABLES CLEARWATER HORIZON SECURITY  LLC 6XBYMZDFKYR
2/1/24 0:00,-90.21,INCOMING WIRE EASTWOOD PARK CO KULOPV
2/2/24 0:00,-90.21,ACH DEBIT TAX AUTHORITY PAYMENT V9N9DOK
6/13/22 0:00,-89.82,ACH DEBIT CARD PROCESSOR ACH PMT EASTWOOD HOLDINGS PLC 7KH7TBNO
5/25/22 0:00,-89.55,"ACH CREDIT ACCOUNTING APP AKIAROGN2JPTOG DEPOSIT COPPERFIELD FORGE LP, L MRY22XI1TZVC"
6/8/22 0:00,-89.55,ZELLE DEBIT PAYMENT TO: J. BAKER . ID: SIE4TILFX6U
11/6/23 0:00,-89.37,INCOMING WIRE SEAVIEW HOLLOW LLC A6JVJ6JKV9M
4/28/23 0:00,-88.48,ACH DEBIT PAYMENT PROCESSOR PAYABLES MEADOWLARK PROJECTS INC 94PLR8P9ZA0S6JBL 9
8/23/23 0:00,-87.73,ACH DEBIT PAYMENT PROCESSOR PAYABLES MAPLECREST BROOK ADVISORS CO W6ID1Z2X7
4/18/23 0:00,-86.85,ACH DEBIT PAYMENT PROCESSOR PAYABLES SOUTHPORT GROVE LLC ZNGCDHGXW607G
1/19/24 0:00,-86.36,ACH DEBIT PAYMENT PROCESSOR PAYABLES BRIGHTLINE HOLLOW LTD VNIJ22YGA2HXPD5
3/12/23 0:00,-85.95,"ACH CREDIT ACCOUNTING APP 0UL2T7I68W3Z8O DEPOSIT CEDARBROOK DIGITAL LTD, L GKTP5IRUNUKD"
6/8/22 0:00,-85,ACH DEBIT TAX AUTHORITY PAYMENT WLDCP818K6G 3
3/29/24 0:00,-84.92,ACH DEBIT CARD PROCESSOR ACH PMT IRONWOOD PARK PLC USG0RJI0 3
2/22/24 0:00,-84.36,ACH DEBIT PAYMENT PROCESSOR PAYABLES SILVERLINE LEDGER CO Y6821H7G0PM2
2/21/24 0:00,-84.36,ACH DEBIT PAYMENT PROCESSOR PAYABLES CLEARVIEW DIGITAL LLC 2NOZQ1MKQY 7 
1/2/24 0:00,-83.37,ACH DEBIT TAX AUTHORITY PAYMENT YPR92J
5/24/22 0:00,-83.29,INTERNET TRANSFER TO DDA# 20418504945 ON26 AT 20.58
2/7/24 0:00,-82.2,ACH DEBIT CARD PROCESSOR ACH PMT AMBERWOOD INDUSTRIES PLC N85W0VQYC08 6
2/25/23 0:00,-81.68,ACH DEBIT PAYMENT PROCESSOR PAYABLES HARBORPOINT CROSSING LLC RLDKHAQOGL
6/7/22 0:00,-81.66,ACH DEBIT PAYMENT PROCESSOR PAYABLES BROOKFIELD MEADOW LTD EHZHYGHAV256W
2/12/23 0:00,-81.12,ACH DEBIT CARD PROCESSOR ACH PMT SILVERPOINT RESOURCES CORP 6KN245ETSZ1 9
11/6/23 0:00,-81.04,INCOMING WIRE SPRINGLINE BROOK INC D3CGIXV923Y
5/26/23 0:00,-80.5,ACH DEBIT PAYMENT PROCESSOR PAYABLES WESTGATE FIELD LP SBBFDIQON 2
2/23/24 0:00,-80,INTERNET TRANSFER TO DDA# 20299419539 ON23 AT 01.16
2/23/24 0:00,-80,INTERNET TRANSFER TO DDA# 20609062608 ON01 AT 22.13
5/18/23 0:00,-79.69,ACH DEBIT PAYMENT PROCESSOR PAYABLES EVERCREST HORIZON LTD BM6M6KOH7B2Q49 6
6/1/23 0:00,-79.15,ACH DEBIT PAYMENT PROCESSOR PAYABLES TIMBERLINE CONSULTING LTD 3QWUL3 5
2/19/23 0:00,-78.34,INTERNET TRANSFER TO DDA# 20419161165 ON12 AT 01.39
9/11/22 0:00,-76.05,"ACH CREDIT ACCOUNTING APP ICW7QCXPEJASULS DEPOSIT ""CROSSWIND VENTURES PLC"", L JWSBT1"
9/13/23 0:00,-76.03,"ACH CREDIT ACCOUNTING APP PC243L05VA05ZCR DEPOSIT AMBERWOOD INDUSTRIES INC, L 0Q9Q8IJ6H5H"
8/12/22 0:00,-75.24,ATM WITHDRAWAL #3388 909 RIVER ST NORTH TOWN IL TERMINAL TX90
10/15/23 0:00,-74.23,ACH DEBIT TAX AUTHORITY PAYMENT 2KJSZ4PA8
2/6/24 0:00,-73.52,ACH DEBIT PAYMENT PROCESSOR PAYABLES ROCKBRIDGE CONSULTING INC SGH7MDUUMP
3/2/24 0:00,-73.45,"ACH CREDIT ACCOUNTING APP O50P5AB6UJUREX DEPOSIT NORTHPOINT HORIZON LOGISTICS LTD, L LVGFXWZ9"
3/1/24 0:00,-73.45,ACH DEBIT TAX AUTHORITY PAYMENT 6D0CMEPWW
7/27/22 0:00,-73.22,INTERNET TRANSFER TO DDA# 20266813758 ON23 AT 02.41
6/15/22 0:00,-72.95,ACH DEBIT TAX AUTHORITY PAYMENT 27X9640RF0W3 3
6/17/22 0:00,-72.95,"ACH CREDIT ACCOUNTING APP 0W1F4NIZC DEPOSIT MEADOWLARK DATA INC, L VJKN2JLRS2"
11/16/23 0:00,-70.88,ACH DEBIT PAYMENT PROCESSOR PAYABLES PARKSTONE SANDS ANALYTICS LTD HJRUF64QA
10/5/23 0:00,-70.88,"ZELLE DEBIT PAYMENT TO: ""W. RAMIREZ"" . ID: IDPJQC9GRH2J"
9/6/23 0:00,-70.75,ZELLE DEBIT PAYMENT TO: F. SCOTT . ID: ODLUC26IU7E84 9
7/29/23 0:00,-70.62,ACH DEBIT TAX AUTHORITY PAYMENT ZB85LA06F5F 6
1/30/23 0:00,-70.05,INTERNET TRANSFER TO DDA# 20417389228 ON09 AT 18.18
2/26/24 0:00,-70,ZELLE DEBIT PAYMENT TO: P. COLLINS . ID: I4X55HA570 8
3/9/24 0:00,-70,INCOMING WIRE WESTGATE FIELD CORP LULY85
3/9/24 0:00,-70,"ACH CREDIT ACCOUNTING APP OA921ER9NG63RQK DEPOSIT BAYVIEW PARTNERS PLC, L VFSM88MYMZVQIZ77"
3/28/24 0:00,-70,ACH DEBIT PAYMENT PROCESSOR PAYABLES SAGE VALLEY SHORE LLC SCAC6M8B550GF
3/28/24 0:00,-70,ACH DEBIT PAYMENT PROCESSOR PAYABLES STONEGATE LEDGER CORP 79KPLFAK34
2/26/24 0:00,-70,ACH DEBIT CARD PROCESSOR ACH PMT PRAIRIE POINTE DATA PLC E59V2TOQ
6/11/22 0:00,-69.29,ACH DEBIT TAX AUTHORITY PAYMENT 1H2BGHNH21MZC 3
8/11/23 0:00,-68.51,ACH DEBIT PAYMENT PROCESSOR PAYABLES CLEARVIEW POINTE INC OBFB159PTDQ9
2/9/24 0:00,-67.25,ACH DEBIT PAYMENT PROCESSOR PAYABLES ROCKBRIDGE SHORE LLC 5MZCNNP3QAR1RF84 8
9/8/23 0:00,-66.8,INCOMING WIRE BROOKFIELD MERIDIAN LABS LP KZL9J0YLCS
10/6/22 0:00,-66.24,"ACH CREDIT ACCOUNTING APP JPVPWRXE6 DEPOSIT RIVERSIDE LEDGER CORP, L WD2L2KISF1DO"
8/28/22 0:00,-66.03,INTERNET TRANSFER TO DDA# 20266696822 ON06 AT 02.21
8/9/23 0:00,-65.5,ACH DEBIT TAX AUTHORITY PAYMENT 0C783ZAZ729V504 8
6/12/23 0:00,-65.44,ACH DEBIT PAYMENT PROCESSOR PAYABLES HIGHLAND RIDGE NETWORKS LLC RNRKOGHVUXCGOP1H
12/6/22 0:00,-64.48,INCOMING WIRE CROSSWIND BROOK INC QUHHWEFF541ZEJHH
4/3/23 0:00,-64.04,ACH DEBIT CARD PROCESSOR ACH PMT WINDWARD CREEK NETWORKS  LTD N8QIBB 4
10/6/23 0:00,-64,"ACH DEBIT PAYMENT PROCESSOR PAYABLES ""GREENLINE HARBOR SYSTEMS CORP"" UEMOGTXD 7"
11/24/22 0:00,-63.95,INCOMING WIRE SAGE VALLEY BRIDGE CO DMTDQLMTJGWMRX
10/2/23 0:00,-63.76,INCOMING WIRE CEDAR RIDGE SANDS PLC ARAGUTA9IW5
3/3/24 0:00,-63.03,ACH DEBIT CARD PROCESSOR ACH PMT PARKVIEW BRIDGE PLC 2TLCHLC
3/4/24 0:00,-63.03,ACH DEBIT CARD PROCESSOR ACH PMT TIMBERLINE RIDGE OPERATIONS LLC QKFAINSRE
9/29/22 0:00,-62.76,ACH DEBIT PAYMENT PROCESSOR PAYABLES GREENLINE LABS INC 6DADEWH
7/28/23 0:00,-62.63,"INCOMING WIRE ""BLUE HARBOR LEDGER CORP"" TAOT7TQ6OTVSQQ"
2/8/24 0:00,-62.25,ACH DEBIT PAYMENT PROCESSOR PAYABLES OAKRIDGE BROOK LP YUW4KKIYB 2
3/29/23 0:00,-61.89,INTERNET TRANSFER TO DDA# 20164655680 ON07 AT 06.44
1/8/24 0:00,-61.81,ACH DEBIT PAYMENT PROCESSOR PAYABLES PARKVIEW GROVE PROPERTIES INC WBA6IC7J7
7/19/23 0:00,-61.75,ACH DEBIT CARD PROCESSOR ACH PMT SPRINGLINE ATLAS HOLDINGS CORP ID4VT2L
2/5/24 0:00,-61.52,ACH DEBIT CARD PROCESSOR ACH PMT WILLOWBEND VISTA LLC 9VPH21ZZM6 8
10/25/22 0:00,-61.22,ATM WITHDRAWAL #1816 909 RIVER ST NORTH TOWN IL TERMINAL TA07
9/8/22 0:00,-60.97,ACH DEBIT CARD PROCESSOR ACH PMT SEAVIEW OPERATIONS LLC 5KW0D2RKG
9/9/23 0:00,-60.87,ACH DEBIT TAX AUTHORITY PAYMENT YSR3V756EXWH7
10/3/23 0:00,-60.08,ACH DEBIT CARD PROCESSOR ACH PMT AMBERWOOD LEDGER GROUP PLC RZ7LNILI7EY8F
5/25/22 0:00,-60,ACH DEBIT PAYMENT PROCESSOR PAYABLES FAIRVIEW SANDS CO ET2N5U2SXY 9
9/26/23 0:00,-60,ACH DEBIT CARD PROCESSOR ACH PMT BRIGHTLINE POINTE CORP JODTIUVEK3ZX
8/20/23 0:00,-59.02,ACH DEBIT CARD PROCESSOR ACH PMT COBALT RIDGE POINT CO G0RSY5CG604
2/10/24 0:00,-59,ACH DEBIT PAYMENT PROCESSOR PAYABLES ASHGROVE MERIDIAN LOGISTICS CO PUJ9IBVT183V
2/9/24 0:00,-59,ACH DEBIT PAYMENT PROCESSOR PAYABLES CROSSWIND PROPERTIES PLC W1RX57 2
8/27/22 0:00,-59,ACH DEBIT PAYMENT PROCESSOR PAYABLES RIVERTON RIDGE LP BTW9S0SQ1C0KSP
1/17/24 0:00,-58.28,ACH DEBIT PAYMENT PROCESSOR PAYABLES REDWOOD FORGE CO YWBOOKEL37ZY1GER
11/6/23 0:00,-58.25,INCOMING WIRE LAKECREST HARBOR LTD 02AQNJ
11/1/22 0:00,-58.02,ACH  DEBIT PAYMENT PROCESSOR PAYABLES TIMBERLINE RIDGE OPERATIONS LLC NV4GSIEJGM
12/11/22 0:00,-57.48,ACH DEBIT PAYMENT PROCESSOR PAYABLES RIDGELAND EDGE INC 0P8HHFYXMI7 6
2/24/23 0:00,-57.44,ACH DEBIT TAX AUTHORITY PAYMENT ABB380Y 8
1/17/24 0:00,-56.62,ACH DEBIT CARD PROCESSOR ACH PMT STONEGATE MERIDIAN INC N176Y3TH
10/8/22 0:00,-54.74,"ACH CREDIT ACCOUNTING APP 2NEDNPDWUBKQJR DEPOSIT PRAIRIE VALLEY PLC, L AT2XQE094A7I"
8/25/23 0:00,-54.72,ACH DEBIT PAYMENT PROCESSOR PAYABLES EMBERLINE SUMMIT LTD 5DOKB15ZK6L
10/30/23 0:00,-54.45,ACH DEBIT PAYMENT PROCESSOR PAYABLES RIVERBEND ATLAS DATA LP Q3TZ1AT
3/23/24 0:00,-54.43,ACH DEBIT PAYMENT PROCESSOR PAYABLES MEADOWRIDGE DIGITAL CORP PUU5UB
3/24/24 0:00,-54.43,ACH DEBIT CARD PROCESSOR ACH PMT CROSSWIND VENTURES PLC R8R5KGR
3/25/23 0:00,-54.4,ACH DEBIT PAYMENT PROCESSOR PAYABLES RIVERTON HEIGHTS CORP Y03VNGTTRVGJJZ
11/2/23 0:00,-54.4,ACH DEBIT CARD PROCESSOR ACH PMT SEAVIEW CREEK PLC N2OBO9APN7D 6
10/1/23 0:00,-54.4,ACH DEBIT PAYMENT PROCESSOR PAYABLES SEAVIEW HOLDINGS LP BL88ZH7M1TGR
6/8/23 0:00,-54.17,ACH DEBIT TAX AUTHORITY PAYMENT LB278E 3
4/28/23 0:00,-54,ZELLE DEBIT PAYMENT TO: A. PHILLIPS . ID: JR1OABQVPHVKRFKG
9/15/23 0:00,-53.9,ACH DEBIT TAX AUTHORITY PAYMENT YMZ1FEOG 2
12/20/22 0:00,-53.8,ACH DEBIT PAYMENT PROCESSOR PAYABLES EMBERLINE SYSTEMS CORP TFAOTD7C
8/24/23 0:00,-53.18,ACH DEBIT CARD PROCESSOR ACH PMT VALEWOOD PARTNERS INC NBYR1JV4BUVDJIS 8
4/19/23 0:00,-52.37,ZELLE DEBIT PAYMENT TO: V. THOMAS . ID: QGOS6ES7UJZ2Q
12/11/23 0:00,-51.66,ZELLE DEBIT PAYMENT TO: D. BAKER . ID: OZ3RYV9RM
6/18/23 0:00,-50.03,ACH DEBIT PAYMENT PROCESSOR PAYABLES RIVERTON RIDGE LP BTW9S0SQ1C0KSP
3/10/24 0:00,-50,"ACH CREDIT ACCOUNTING APP VOK0559KQKO1NBY1 DEPOSIT SUMMIT MEADOW DATA CO, L 4PPBWMSZWAD5"
3/9/24 0:00,-50,INTERNET TRANSFER TO DDA# 20492157613 ON07 AT 18.19
2/17/24 0:00,-50,INCOMING WIRE IRONWOOD GROUP LP R7LRNEA8MXMP
2/5/24 0:00,-50,INCOMING WIRE SUMMIT MEADOW DATA CO TA6U4V9T7TAJK
5/26/23 0:00,-50,ACH DEBIT PAYMENT PROCESSOR PAYABLES CLEARVIEW BAY PLC F5RRV6X7CW8IS 7
2/4/24 0:00,-50,"ACH CREDIT ACCOUNTING APP RZNYN0P1XK2UPPWL DEPOSIT ROCKBRIDGE HOLLOW LP, L 9JAHO0X31B7R"
12/14/22 0:00,-49.93,ACH DEBIT CARD PROCESSOR ACH PMT AMBERWOOD HARBOR INC 7NATOD7P162BKL2V 3
9/6/23 0:00,-49.73,"ACH CREDIT ACCOUNTING APP UXOLZ1B DEPOSIT LAKESHORE MEADOW VENTURES LLC, L K1BX66YVK862N"
12/11/23 0:00,-49.5,ACH DEBIT PAYMENT PROCESSOR PAYABLES SPRINGLINE HOLDINGS LLC JTSM3KULF2G1 4
9/22/22 0:00,-49.38,ACH DEBIT PAYMENT PROCESSOR PAYABLES MEADOWLARK MEADOW INDUSTRIES PLC 4I9LBV3J 
11/8/22 0:00,-49.1,ACH DEBIT PAYMENT PROCESSOR PAYABLES SUNRIDGE FIELD CO CBQHGVFZJ002V
10/25/23 0:00,-48.96,INTERNET TRANSFER TO DDA# 20519519067 ON28 AT 13.05
6/16/22 0:00,-48.75,ACH DEBIT PAYMENT PROCESSOR PAYABLES STONECREST CANYON INC INL3MX8S 4
11/13/22 0:00,-48.33,"ACH DEBIT CARD PROCESSOR ACH PMT ""BAYVIEW CROSSING PLC"" 2DKB06EYMFW 7"
10/5/22 0:00,-47.8,ZELLE DEBIT PAYMENT TO: K. ADAMS . ID: 3NI3SQ8FFQBVG3MQ
7/5/23 0:00,-46.78,ACH DEBIT PAYMENT PROCESSOR PAYABLES TIMBERLINE GROUP INC B9RZU2N4
10/4/23 0:00,-46.78,ACH DEBIT TAX AUTHORITY PAYMENT G6TD2FQ7QZ0FBX5
3/13/23 0:00,-46.78,INTERNET TRANSFER TO DDA# 20587568823 ON15 AT 03.13
5/18/23 0:00,-46.77,INTERNET TRANSFER TO DDA# 20102116667 ON13  AT 22.42
5/23/22 0:00,-46.2,ACH DEBIT TAX AUTHORITY PAYMENT RLZZFZN
4/1/23 0:00,-45.85,INCOMING WIRE ROCKBRIDGE INDUSTRIES LLC 0IMA3FD
10/26/22 0:00,-45.12,ACH DEBIT TAX AUTHORITY PAYMENT YZDZVT1
2/4/24 0:00,-45,ACH DEBIT PAYMENT PROCESSOR PAYABLES STONECREST NETWORKS PLC LDNFK9
2/5/24 0:00,-45,ACH DEBIT PAYMENT PROCESSOR PAYABLES CROSSWIND LEDGER PLC MPQ7ZRNL89B
2/3/23 0:00,-44.02,INTERNET TRANSFER TO DDA# 20933361016 ON23 AT 01.10
11/27/22 0:00,-43.74,ACH DEBIT CARD PROCESSOR ACH PMT  VALEWOOD CAPITAL LLC 416AG9FY5AOIIL
9/23/23 0:00,-43.55,ACH DEBIT TAX AUTHORITY PAYMENT VPOK4YI7Z0FQ
5/31/23 0:00,-43.54,ZELLE DEBIT PAYMENT TO: C. CARTER . ID: 04XAD2 5
4/1/23 0:00,-43.54,INTERNET TRANSFER TO DDA# 20669911061 ON12 AT 05.26
11/2/23 0:00,-43.52,INCOMING WIRE STONECREST SUMMIT CO QMARHALNQL8E
8/10/23 0:00,-43.52,INCOMING WIRE SEAVIEW POINT LP YHN10DAC9O55
3/20/23 0:00,-43.52,"ACH DEBIT CARD PROCESSOR ACH PMT ""IRONWOOD PROPERTIES LP"" 6T7CQC0OHZ2N6U9"
9/6/23 0:00,-43.36,ACH DEBIT TAX AUTHORITY PAYMENT 42DKVHN2P 3
10/23/23 0:00,-43.34,"ACH DEBIT PAYMENT PROCESSOR PAYABLES ""GOLDLEAF HARBOR INC"" 7CK36VOK90A3K8Q1"
3/6/24 0:00,-43.24,INCOMING WIRE PINECREST PARTNERS INC L4LX1ADI7G90TA4
3/6/24 0:00,-43.24,ACH DEBIT PAYMENT PROCESSOR PAYABLES STONEGATE MERIDIAN INC BWF6996H 1
8/23/23 0:00,-42.64,INTERNET TRANSFER TO DDA# 20613968892 ON18 AT 23.15
10/9/22 0:00,-42.46,ACH DEBIT CARD PROCESSOR ACH PMT NORTHLAKE HEIGHTS INC XOIJS7 5
6/20/23 0:00,-42.42,"ACH CREDIT ACCOUNTING APP FLAOFKEAME4 DEPOSIT MEADOWRIDGE SUMMIT ANALYTICS LLC, L 5S4T7XGLT3"
5/11/23 0:00,-42.39,INCOMING WIRE CLEARVIEW EDGE LTD CIOED8F8MGSNX
6/16/23 0:00,-42.16,ZELLE DEBIT PAYMENT TO: T. GREEN . ID: 7R9L3EBIU2X0HWCL
3/1/24 0:00,-42,ACH DEBIT PAYMENT PROCESSOR PAYABLES WILLOWBEND BLOOM PARTNERS LLC VZEYUNED
10/2/23 0:00,-42,ZELLE DEBIT PAYMENT TO: E. MURPHY . ID: L5BUWPWMELBDVBTA 8
1/22/24 0:00,-42,INTERNET TRANSFER TO DDA# 20637092855 ON18 AT 07.37
1/8/24 0:00,-41.81,ZELLE DEBIT PAYMENT TO: T. LOPEZ . ID: YEC3UVIJBUT
2/19/24 0:00,-41.68,INCOMING WIRE STONEWELL CREEK PLC UXGLO1U4DLUFV62
2/18/24 0:00,-41.68,ZELLE DEBIT PAYMENT TO: R. MORGAN . ID: FZH990GYS6 1
1/22/24 0:00,-41.46,ACH DEBIT PAYMENT PROCESSOR PAYABLES HARBORPOINT ADVISORS INC R1L8JIRWQ1KF3C5 6
8/23/23 0:00,-41.42,ACH DEBIT PAYMENT PROCESSOR PAYABLES BAYVIEW SHORE ANALYTICS PLC W2LZ2KEJPWXG04SB
3/12/24 0:00,-41.33,ACH DEBIT TAX AUTHORITY PAYMENT NFXKS7Q8LWXZ 1
3/13/24 0:00,-41.33,INTERNET TRANSFER TO DDA# 20728164430 ON21 AT 15.05
2/27/23 0:00,-40.91,INTERNET TRANSFER TO DDA# 20663986417 ON03 AT 21.24
